otolith_fish_id,heart_fish_id,otolith_miss_loci,heart_miss_loci,duplicate_rate,48_DWP_tray_barcode,diff,otolith_position,otolith_row,otolith_col,heart_position,heart_row,heart_col,heart_fish_id_self,heart_miss_loci_self,duplicate_rate_self,diff_self,match_type
PGOD21_2841,PGILMOUR15_625,125,25,0.5636363636363636,2125,0.011489124372559889,G3,G,3,F6,F,6,PGILMOUR15_602,0,0.49710982658959535,0.06652653704676825,not_self
PGOD21_2843,PGILMOUR15_605,143,1,0.832258064516129,2125,0.29484309852973445,B4,B,4,B4,B,4,PGILMOUR15_605,1,0.832258064516129,0,self
PGOD21_2845,PGILMOUR15_607,37,2,0.9885057471264368,2125,0.46360153256704983,D4,D,4,D4,D,4,PGILMOUR15_607,2,0.9885057471264368,0,self
PGOD21_2849,PGILMOUR15_616,173,5,0.872,2125,0.2771724137931034,E5,E,5,E5,E,5,PGILMOUR15_616,5,0.872,0,self
PGOD21_2850,PGILMOUR15_617,188,1,0.8727272727272727,2125,0.32727272727272727,F5,F,5,F5,F,5,PGILMOUR15_617,1,0.8727272727272727,0,self
PGOD21_3534,PGILMOUR15_686,147,1,0.6887417218543046,2127,0.11051042933729782,C2,C,2,C2,C,2,PGILMOUR15_686,1,0.6887417218543046,0,self
PGOD21_3536,PGILMOUR15_688,100,0,0.9595959595959596,2127,0.4191919191919191,E2,E,2,E2,E,2,PGILMOUR15_688,0,0.9595959595959596,0,self
PGOD21_3539,PGILMOUR15_691,60,3,0.9451476793248945,2127,0.41573591461901216,H2,H,2,H2,H,2,PGILMOUR15_691,3,0.9451476793248945,0,self
PGOD21_3541,PGILMOUR15_714,91,1,0.5458937198067633,2127,0.02589371980676325,D3,D,3,G5,G,5,PGILMOUR15_695,0,0.4396135265700483,0.10628019323671495,not_self
PGOD21_3543,PGILMOUR15_697,64,0,0.8376068376068376,2127,0.2991452991452992,F3,F,3,F3,F,3,PGILMOUR15_697,0,0.8376068376068376,0,self
PGOD21_3547,PGILMOUR15_695,167,0,0.7557251908396947,2127,0.19083969465648853,F4,F,4,D3,D,3,PGILMOUR15_705,0,0.5267175572519084,0.2290076335877863,not_self
PGOD21_3549,PGILMOUR15_706,123,0,0.9314285714285714,2127,0.39428571428571424,G4,G,4,G4,G,4,PGILMOUR15_706,0,0.9314285714285714,0,self
PGOD21_3550,PGILMOUR15_713,89,1,0.6124401913875598,2127,0.02590172984909822,C5,C,5,F5,F,5,PGILMOUR15_710,4,0.5865384615384616,0.02590172984909822,not_self
PGOD21_3551,PGILMOUR15_711,111,3,0.7058823529411765,2127,0.1736242884250475,D5,D,5,D5,D,5,PGILMOUR15_711,3,0.7058823529411765,0,self
